Dòng,Hiragana,Kanji,Hán Việt,Nghĩa,Bài,Lỗi,Ghi chú / gợi ý sửa
1008,"こわい","怖い","BỐ","Sợ, khiếp","Bài 47","Trùng với dòng 45 (cùng từ và cùng cách đọc).",""
1027,"こいびと","恋人","LUYẾN NHÂN","Người yêu","Bài 47","Trùng với dòng 349 (cùng từ và cùng cách đọc).",""
1030,"おろします","降ろします,下ろします","GIÁNG HẠ","Cho xuống, hạ xuống","Bài 48","Ô chứa nhiều dạng viết — tách thành từng dòng riêng.","Tách 2 dòng: 降ろします=Cho xuống (xe) | 下ろします=Hạ xuống, rút (tiền)"
1032,"せわをします","世話をします","THẾ THOẠI","Chăm sóc","Bài 48","Trùng với dòng 645 (cùng từ và cùng cách đọc).",""
1041,"じゆうに","自由に","TỰ DO","Tự do","Bài 48","Trùng với dòng 96 (cùng từ và cùng cách đọc).",""
1051,"ーせいき","一世紀","THẾ KỈ","Thế kỷ -","Bài 48","Trùng với dòng 544 (cùng từ và cùng cách đọc).",""
1057,"うつくしい","美しい","MĨ","Đẹp","Bài 48","Trùng với dòng 290 (cùng từ và cùng cách đọc).",""
1067,"いらっしゃいます","","","Ở, có, đi, đến (tôn kính ngữ của います、いきます và きます)","Bài 49","Trùng với dòng 743 (cùng từ và cùng cách đọc).",""
1106,"[かいしゃに~]つとめます","[会社に~]勤めます","HỘI XÃ CẦN","Làm việc ở [công ty]","Bài 50","Trùng với dòng 1062 (cùng từ và cùng cách đọc).",""
1107,"やすみます","休みます","HƯU","Nghỉ","Bài 50","Trùng với dòng 1063 (cùng từ và cùng cách đọc).",""
1108,"[いすに~]かけます","[いすに~]掛けます","QUẢI","Ngồi [ghế]","Bài 50","Trùng với dòng 1064 (cùng từ và cùng cách đọc).",""
1109,"すごします","過ごします","QUA, QUÁ","Tiêu thời gian, trải qua","Bài 50","Trùng với dòng 1065 (cùng từ và cùng cách đọc).",""
1110,"[ぎんこうに~]よります","[銀行に~]寄ります","NGÂN HÀNG KÍ","Ghé qua [ngân hàng]","Bài 50","Trùng với dòng 1066 (cùng từ và cùng cách đọc).",""
1111,"いらっしゃいます","","","Ở, có, đi, đến (tôn kính ngữ của います、いきます và きます)","Bài 50","Trùng với dòng 743 (cùng từ và cùng cách đọc).",""
1112,"めしあがります","召し上がります","TRIỆU THƯỢNG","Ăn, uống (tôn kính ngữ của たべます và のみます)","Bài 50","Trùng với dòng 1068 (cùng từ và cùng cách đọc).",""
1113,"おっしゃいます","","","Nói (tôn kính ngữ của いいます)","Bài 50","Trùng với dòng 1069 (cùng từ và cùng cách đọc).",""
1114,"なさいます","","","Làm (tôn kính ngữ của します)","Bài 50","Trùng với dòng 1070 (cùng từ và cùng cách đọc).",""
1115,"ごらんになります","ご覧になります","LÃM","Xem, nhìn (tôn kính ngữ của みます)","Bài 50","Trùng với dòng 1071 (cùng từ và cùng cách đọc).",""
1116,"ごぞんじです","ご存じです","TỒN","Biết (tôn kính ngữ của しっています)","Bài 50","Trùng với dòng 1072 (cùng từ và cùng cách đọc).",""
1117,"あいさつ","","","Chào hỏi (~をします : chào hỏi)","Bài 50","Trùng với dòng 1073 (cùng từ và cùng cách đọc).",""
1118,"はいざら","灰皿","HÔI MÃNH","Cái gạt tàn","Bài 50","Trùng với dòng 1074 (cùng từ và cùng cách đọc).",""
1119,"ぼうえき","貿易","MẬU DỊCH","Thương mại quốc tế, mậu dịch","Bài 50","Trùng với dòng 1078 (cùng từ và cùng cách đọc).",""
1120,"かえりに","帰りに","QUY","Trên đường về","Bài 50","Trùng với dòng 1080 (cùng từ và cùng cách đọc).",""
1121,"たまに","","","Thỉnh thoảng (tần suất nhỏ hơn ときどき)","Bài 50","Trùng với dòng 1081 (cùng từ và cùng cách đọc).",""
1122,"ちっとも","","","Chẳng ~ tí nào, không hề","Bài 50","Trùng với dòng 1082 (cùng từ và cùng cách đọc).",""
1123,"えんりょなく","遠慮なく","VIỄN LỰ","Không giữ ý, không làm khách, đừng ngại ngùng","Bài 50","Trùng với dòng 1083 (cùng từ và cùng cách đọc).",""
1124,"ーねんーくみ","一年一組","NIÊN TỔ","Lớp -, năm thứ -","Bài 50","Trùng với dòng 1084 (cùng từ và cùng cách đọc).",""
1125,"では","","","Thế thì, vậy thì (thể lịch sự của じゃ)","Bài 50","Trùng với dòng 1085 (cùng từ và cùng cách đọc).",""
1126,"「ねつ」だします","[熱を~]出します","NHIỆT XUẤT","Bị [sốt]","Bài 50","Trùng với dòng 1086 (cùng từ và cùng cách đọc).",""
1127,"よろしくおつたえください","よろしくお伝えください。","TRUYỀN, TRUYỆN","Cho tôi gởi lời hỏi thăm./ hãy nhắn lại với ~.","Bài 50","Trùng với dòng 1087 (cùng từ và cùng cách đọc).",""
1128,"しつれいいたします","失礼いたします。","THẤT LỄ","Xin phép anh/chị (khiêm nhường ngữ của しつれいします)","Bài 50","Trùng với dòng 1088 (cùng từ và cùng cách đọc).",""
1129,"ひまわりしょうがっこう","ひまわり小学校","TIỂU HỌC HIỆU","Tên một trường tiểu học (giả tưởng)","Bài 50","Trùng với dòng 1089 (cùng từ và cùng cách đọc).",""
1130,"じゅしょうします","受賞します","THỤ THƯỞNG","Nhận giải thưởng, được giải thưởng","Bài 50","Trùng với dòng 1093 (cùng từ và cùng cách đọc).",""
1131,"せかいてきに","世界的に","THẾ GIỚI ĐÍCH","Tầm cỡ thế giới, mang tính thế giới","Bài 50","Trùng với dòng 1094 (cùng từ và cùng cách đọc).",""
1132,"~でいらっしゃいます","","","Là ~(tôn kính ngữ của です)","Bài 50","Trùng với dòng 1096 (cùng từ và cùng cách đọc).",""
1133,"しょうがい","障害","CHƯỚNG HẠI","Khuyết tật, tàn tật","Bài 50","Trùng với dòng 1098 (cùng từ và cùng cách đọc).",""
1135,"さっきょく","作曲","TÁC KHÚC","Sáng tác nhạc","Bài 50","Trùng với dòng 1100 (cùng từ và cùng cách đọc).",""
1136,"かつどう","活動","HOẠT ĐỘNG","Hoạt động","Bài 50","Trùng với dòng 1101 (cùng từ và cùng cách đọc).",""
1137,"それでは","それでは","","Bây giờ thì, đến đây","Bài 50","Trùng với dòng 1102 (cùng từ và cùng cách đọc).",""
